        wavelength                  f_lam                  e_lam              telcor
            3650.0  3.585798698293837e-15 2.4567578931200615e-16  0.9999999999999998
            3650.7 3.4175977118088496e-15 2.4296731452307883e-16  1.0000000000000002
3651.3999999999996 3.3330375432770066e-15 2.4171777221377096e-16                 1.0
3652.0999999999995  3.503631698948124e-15 2.3830240376058125e-16                 1.0
3652.7999999999993 3.4721403022324862e-15 2.4051341733204674e-16                 1.0
 3653.499999999999 3.7960307312355875e-15  2.398243234016266e-16                 1.0
 3654.199999999999  3.614242631004124e-15  2.367280280123558e-16                 1.0
3654.8999999999987  3.571549703271316e-15 2.3652171450552037e-16                 1.0
3655.5999999999985  3.477264340943721e-15  2.337231371314986e-16                 1.0
3656.2999999999984 3.4269718885536218e-15  2.342071251254045e-16                 1.0
 3656.999999999998 3.1187322924540683e-15  2.324042026130198e-16                 1.0
 3657.699999999998  3.576958011492979e-15  2.344086283294986e-16                 1.0
 3658.399999999998 3.6904476748604445e-15  2.325538932012721e-16                 1.0
3659.0999999999976 3.3189062337175512e-15 2.2828179313170887e-16                 1.0
3659.7999999999975 3.2793623773059604e-15  2.285461285227256e-16                 1.0
3660.4999999999973 3.5275956425330134e-15 2.2584444097103307e-16                 1.0
 3661.199999999997  3.567224689837691e-15 2.3039978138697524e-16                 1.0
 3661.899999999997  3.692278202340972e-15  2.283195392996191e-16                 1.0
3662.5999999999967  3.515787477327338e-15  2.254183071749694e-16                 1.0
3663.2999999999965 3.8457502505028134e-15 2.2466738755532956e-16                 1.0
3663.9999999999964 3.3186456118662686e-15  2.200973268522482e-16                 1.0
 3664.699999999996 3.5322976732728414e-15 2.2256908466711007e-16                 1.0
 3665.399999999996  3.752509228706033e-15 2.2145803966941658e-16                 1.0
 3666.099999999996  3.508038828023313e-15 2.2163599206110757e-16                 1.0
3666.7999999999956 3.2760862382912056e-15 2.1696980999985646e-16                 1.0
3667.4999999999955  3.367834299647783e-15 2.1796177345441714e-16                 1.0
3668.1999999999953 3.9769004264566036e-15 2.1719758076693225e-16                 1.0
 3668.899999999995 3.8347913151656465e-15  2.168211626129081e-16                 1.0
 3669.599999999995  3.569266208238649e-15 2.1646731464381474e-16                 1.0
3670.2999999999947  3.740834116091396e-15 2.1387778188526763e-16                 1.0
3670.9999999999945 3.3776511334047077e-15 2.1438557843503158e-16                 1.0
3671.6999999999944  3.700660097430852e-15 2.1373378648409295e-16                 1.0
