wavelength                  f_lam                  e_lam              telcor
            3650.0  4.983481199392116e-16  3.522760181680013e-17  0.9999999999999998
            3650.7  5.103369362654964e-16  3.510130748483763e-17  1.0000000000000002
3651.3999999999996  4.790794477769523e-16  3.487469794188225e-17                 1.0
3652.0999999999995  4.730084741687727e-16 3.5411530555532207e-17                 1.0
3652.7999999999993  5.004617356896297e-16 3.5533210813514056e-17                 1.0
 3653.499999999999  4.885647507203599e-16  3.545156188887906e-17                 1.0
 3654.199999999999  4.462555125561249e-16 3.4959726044728506e-17                 1.0
3654.8999999999987  4.726877485034654e-16   3.45902290509296e-17                 1.0
3655.5999999999985   4.71634161099264e-16   3.43444288630599e-17                 1.0
3656.2999999999984  4.664539869956322e-16  3.413409085189834e-17                 1.0
 3656.999999999998  4.730926112507959e-16  3.420631945835194e-17                 1.0
 3657.699999999998  4.816444658861905e-16 3.4312344677939376e-17                 1.0
 3658.399999999998  4.708357466656192e-16  3.470002303934745e-17                 1.0
3659.0999999999976  4.919800762087522e-16 3.4727835843159885e-17                 1.0
3659.7999999999975  5.013461211391012e-16  3.424944788345664e-17                 1.0
3660.4999999999973  5.020211181324764e-16  3.381380881779943e-17                 1.0
 3661.199999999997  5.252501965925371e-16  3.350526581666155e-17                 1.0
 3661.899999999997  4.730040534367661e-16  3.335871939110273e-17                 1.0
3662.5999999999967  5.117146093166836e-16 3.3280570389788645e-17                 1.0
3663.2999999999965  5.177598888079392e-16  3.345214081847135e-17                 1.0
3663.9999999999964  5.183210516307374e-16  3.323299615914208e-17                 1.0
 3664.699999999996  4.962943626255455e-16  3.326880613632452e-17                 1.0
 3665.399999999996  4.911361403977899e-16  3.285911096070219e-17                 1.0
 3666.099999999996  4.580159799113437e-16 3.2389111330786543e-17                 1.0
3666.7999999999956  4.829883700330778e-16 3.2241110580909724e-17                 1.0
3667.4999999999955   4.30782240203426e-16 3.1878364160082653e-17                 1.0
3668.1999999999953 4.2162297810145767e-16  3.183393526739265e-17                 1.0
 3668.899999999995  4.547794651390705e-16   3.19349465897304e-17                 1.0
 3669.599999999995  5.096355195621953e-16   3.23268912779952e-17                 1.0
3670.2999999999947  4.869619943652815e-16  3.205754047951197e-17                 1.0
3670.9999999999945  5.040372542462089e-16  3.150000290889144e-17                 1.0
3671.6999999999944  5.018085869757573e-16 3.1656145013346125e-17                 1.0
 3672.399999999994  5.077849890196744e-16  3.139397310068839e-17                 1.0
 3673.099999999994   5.10021736118861e-16 3.1373161564295746e-17                 1.0
 3673.799999999994   5.40820579276954e-16  3.136261545043623e-17                 1.0
3674.4999999999936  4.885263335435425e-16   3.15461979858504e-17                 1.0
3675.1999999999935  5.212164475977348e-16  3.160455485676904e-17                 1.0
3675.8999999999933  5.159067914010904e-16  3.124925894036035e-17                 1.0
 3676.599999999993  5.052641313492585e-16  3.072503254302937e-17                 1.0
 3677.299999999993  4.852740821393323e-16 3.0084418958314474e-17                 1.0
3677.9999999999927  5.002410688365075e-16  3.012042562863905e-17                 1.0
3678.6999999999925  5.023624547714081e-16  3.006410243418365e-17                 1.0
3679.3999999999924  4.927390886134497e-16  3.014067458166114e-17                 1.0
 3680.099999999992  4.878543487982742e-16  2.993796186922584e-17                 1.0
 3680.799999999992  4.948990290113158e-16 3.0299992324965967e-17                 1.0
 3681.499999999992  5.270994759168802e-16 3.0296835346264994e-17                 1.0
3682.1999999999916  5.120564661935438e-16  2.979533067791396e-17                 1.0
3682.8999999999915  4.781263680535303e-16 2.9941048347847833e-17                 1.0
3683.5999999999913  4.930821211751707e-16 2.9602447865963285e-17                 1.0
 3684.299999999991  5.113440952751043e-16  2.978641482005861e-17                 1.0
 3684.999999999991  4.869636074472631e-16 2.9500857778957257e-17                 1.0
3685.6999999999907  4.685922382043486e-16   2.94447443391523e-17                 1.0
3686.3999999999905  4.923417913423723e-16  2.935447547549052e-17                 1.0
3687.0999999999904  5.285123464783708e-16  2.952198406854182e-17                 1.0
  3687.79999999999  5.075839663785193e-16 2.9065496411002604e-17                 1.0
  3688.49999999999  5.042968684875865e-16 2.8633783117233164e-17                 1.0
  3689.19999999999  4.824112956063942e-16  2.887066378851755e-17                 1.0
3689.8999999999896  4.945175857519228e-16  2.883113736258249e-17                 1.0
3690.5999999999894  4.887081616852871e-16 2.9210504205059775e-17                 1.0
3691.2999999999893  4.979114899948526e-16 2.9669284462214967e-17                 1.0
 3691.999999999989   4.60443959483819e-16 2.9808490519491134e-17                 1.0
 3692.699999999989  5.190177682302295e-16  2.965188661776284e-17                 1.0
3693.3999999999887  4.947226918246946e-16 2.8824043829034777e-17                 1.0
3694.0999999999885  4.576351446898802e-16  2.853537610113209e-17                 1.0
3694.7999999999884  4.259543945955656e-16  2.840973064662243e-17                 1.0
 3695.499999999988  4.734082634497125e-16  2.849689668354799e-17                 1.0
 3696.199999999988  4.845877675972553e-16  2.856076508590566e-17                 1.0
 3696.899999999988   5.05604566913252e-16  2.916645161008404e-17                 1.0
3697.5999999999876  4.745921008993964e-16 2.9250698061290106e-17                 1.0
3698.2999999999874  4.984176024108983e-16  2.914446644139391e-17                 1.0
3698.9999999999873   5.56796026038467e-16  2.920885977156103e-17                 1.0
 3699.699999999987  5.359222878030983e-16  2.892681453649153e-17                 1.0
 3700.399999999987  4.859791238455119e-16 2.8511520232002615e-17                 1.0
3701.0999999999867  4.736213533763055e-16  2.840785484928107e-17                 1.0
3701.7999999999865  4.791070462548957e-16 2.8532972420552443e-17                 1.0
3702.4999999999864  4.923849518338252e-16 2.8838469345783176e-17                 1.0
 3703.199999999986  5.025798977836422e-16  2.872947163739476e-17                 1.0
 3703.899999999986  5.169026368591863e-16 2.8430744386600306e-17                 1.0
 3704.599999999986  4.806324689236493e-16  2.782690672863506e-17                 1.0
3705.2999999999856  4.766638496134493e-16 2.7471689594949255e-17                 1.0
3705.9999999999854  4.560260229071674e-16 2.7149012887059296e-17                 1.0
3706.6999999999853  4.684237588135767e-16 2.7324445622703534e-17                 1.0
 3707.399999999985  4.500621207592509e-16  2.732953260780143e-17                 1.0
 3708.099999999985  4.743890263056876e-16 2.7607363834357226e-17                 1.0
3708.7999999999847  4.496525395047471e-16 2.7310760248482568e-17                 1.0
3709.4999999999845  4.778781553353962e-16 2.7371269312043366e-17                 1.0
3710.1999999999844  5.018623210985391e-16 2.7355986701698184e-17                 1.0
 3710.899999999984  4.703202581851985e-16 2.6984068859829243e-17                 1.0
 3711.599999999984  5.142614246456225e-16 2.7192863326479516e-17                 1.0
 3712.299999999984  5.016023651021411e-16 2.7448943185561792e-17                 1.0
3712.9999999999836 4.8297558470206875e-16  2.772697572055126e-17                 1.0
3713.6999999999834  4.918165579111886e-16 2.8010467939962845e-17                 1.0
3714.3999999999833  4.992060518463293e-16  2.786605155294106e-17                 1.0
 3715.099999999983  4.956409042912764e-16 2.7413283829363412e-17                 1.0
 3715.799999999983  4.918537324281626e-16 2.6911295381818807e-17                 1.0
3716.4999999999827  4.982835948505583e-16 2.6852547428190687e-17                 1.0
3717.1999999999825  5.022736677474526e-16 2.6716579161875085e-17                 1.0
3717.8999999999824  5.024682279297699e-16 2.6722395840227996e-17                 1.0
 3718.599999999982  4.811049873799736e-16 2.6245545033052556e-17                 1.0
 3719.299999999982  4.841242811509194e-16 2.5886196504381632e-17                 1.0
 3719.999999999982  4.529498678961656e-16 2.5384248690550732e-17                 1.0
3720.6999999999816  4.898859211046912e-16 2.5346856566685573e-17                 1.0
3721.3999999999814  4.840449803745633e-16 2.5452815114965875e-17                 1.0
3722.0999999999813    4.9719637345562e-16 2.5450670246328562e-17                 1.0
 3722.799999999981  4.964163274822256e-16  2.574184489091716e-17                 1.0
 3723.499999999981   5.01483013559472e-16 2.5964705541852527e-17                 1.0
3724.1999999999807  4.513432085334602e-16 2.6052016426468637e-17                 1.0
3724.8999999999805   4.57491294944649e-16 2.6432586794243423e-17                 1.0
3725.5999999999804   4.56635260827824e-16  2.661396756997027e-17                 1.0
  3726.29999999998  4.943865418572704e-16 2.6736717396899026e-17                 1.0
  3726.99999999998  5.006228921180873e-16  2.614381979418496e-17                 1.0
  3727.69999999998  4.838661199617706e-16 2.5759320180598075e-17                 1.0
3728.3999999999796  4.524436912996796e-16 2.5792036954981555e-17                 1.0
3729.0999999999794  4.519973375911088e-16 2.6619773764324102e-17                 1.0
3729.7999999999793  4.759680892806357e-16  2.628494175737354e-17                 1.0
 3730.499999999979  4.937647499953696e-16 2.6199182134987266e-17                 1.0
 3731.199999999979  4.784812422820797e-16  2.579969387904433e-17                 1.0
3731.8999999999787  4.571257847628613e-16 2.5411072463529414e-17                 1.0
3732.5999999999785  4.873766737787561e-16 2.5291417621488158e-17                 1.0
3733.2999999999784  4.909449111722709e-16  2.471629840873118e-17                 1.0
 3733.999999999978  4.681238362025703e-16  2.446399067417075e-17                 1.0
 3734.699999999978  4.725951128189276e-16  2.437163295923687e-17                 1.0
 3735.399999999978  4.831268081600926e-16 2.4581497022893284e-17                 1.0
3736.0999999999776  4.388919898464995e-16 2.4612744309774712e-17                 1.0
3736.7999999999774  4.852423320519042e-16  2.466572216135311e-17                 1.0
3737.4999999999773  4.668888460495971e-16 2.4497243846839203e-17                 1.0
 3738.199999999977  4.664475928259038e-16 2.4684060125702792e-17                 1.0
 3738.899999999977  4.694908539049109e-16 2.5101083212186253e-17                 1.0
3739.5999999999767  4.616928467228288e-16  2.496384966242542e-17                 1.0
3740.2999999999765  4.564597699066814e-16  2.521442213694299e-17                 1.0
3740.9999999999764  4.807056020763408e-16 2.5246785387488162e-17                 1.0
 3741.699999999976  5.137565401643486e-16  2.546734392789784e-17                 1.0
 3742.399999999976  4.787692422574067e-16 2.5011961492967686e-17                 1.0
 3743.099999999976  4.740324120703708e-16  2.441217540520465e-17                 1.0
3743.7999999999756 4.9407891121109075e-16  2.424971178656118e-17                 1.0
3744.4999999999754  4.200031694626206e-16  2.360353016875135e-17                 1.0
3745.1999999999753   4.67055518449365e-16 2.3616806868307974e-17                 1.0
 3745.899999999975  4.714530485320696e-16  2.354773329766151e-17                 1.0
 3746.599999999975  4.591364692811247e-16 2.4056832951397938e-17                 1.0
3747.2999999999747   4.70522947482177e-16  2.408980272089122e-17                 1.0
3747.9999999999745   4.55116232016495e-16 2.3318709403216822e-17                 1.0
3748.6999999999744  4.647962689933414e-16 2.2998805148213908e-17                 1.0
 3749.399999999974  4.472090348826376e-16  2.279890182996738e-17                 1.0
 3750.099999999974  4.881003067428311e-16 2.3533711923323685e-17                 1.0
 3750.799999999974  5.043882891550385e-16 2.3859488561371818e-17                 1.0
3751.4999999999736  5.009678986926882e-16 2.3991446265849132e-17                 1.0
3752.1999999999734  5.099755446212931e-16 2.4039587931800604e-17                 1.0
3752.8999999999733  4.708956973035438e-16 2.3984574801183503e-17                 1.0
 3753.599999999973  4.832608809193778e-16 2.3993241150695026e-17                 1.0
 3754.299999999973  4.646416486229281e-16 2.4026740770656948e-17                 1.0
3754.9999999999727  4.763685452292216e-16 2.4241358114370133e-17                 1.0
3755.6999999999725  4.841764773320804e-16 2.4070562033349627e-17                 1.0
3756.3999999999724  4.856979617067696e-16  2.366759663654665e-17                 1.0
 3757.099999999972  4.735731599793411e-16 2.3176692761720526e-17                 1.0
 3757.799999999972  4.758447973291195e-16 2.3073529505659556e-17                 1.0
 3758.499999999972  4.921493680776943e-16 2.3177974917185147e-17                 1.0
3759.1999999999716  4.889739619903244e-16 2.3378250415463005e-17                 1.0
3759.8999999999714  4.703556741260416e-16 2.3237396209255328e-17                 1.0
3760.5999999999713  4.767660229896364e-16  2.309294255472989e-17                 1.0
 3761.299999999971  4.647469558325514e-16 2.2772872299400054e-17                 1.0
 3761.999999999971   4.62878166430346e-16 2.2702137420742108e-17                 1.0
3762.6999999999707  4.714190839934748e-16 2.2951904082668336e-17                 1.0
3763.3999999999705  4.791279050625901e-16 2.2786445527311797e-17                 1.0
3764.0999999999704  4.821564024646258e-16  2.292742247048002e-17                 1.0
  3764.79999999997  4.640615152383274e-16 2.3062175338315943e-17                 1.0
  3765.49999999997   4.61948042105037e-16 2.2798762230063856e-17                 1.0
  3766.19999999997 4.4146187297212387e-16 2.2417560676500397e-17                 1.0
3766.8999999999696  4.777959061030427e-16 2.2180685926693913e-17                 1.0
3767.5999999999694  4.512140768764233e-16 2.2177678172901085e-17                 1.0
3768.2999999999693  4.448275820091819e-16  2.245504365339916e-17                 1.0
 3768.999999999969    4.4681251162272e-16  2.279945145997766e-17                 1.0
 3769.699999999969  4.749179825451802e-16  2.278645330943975e-17                 1.0
3770.3999999999687  4.970474716443947e-16 2.2775404471896715e-17                 1.0
3771.0999999999685  4.819910350200331e-16  2.294230258574675e-17                 1.0
3771.7999999999683  4.699124099326862e-16 2.2860237823925307e-17                 1.0
 3772.499999999968  4.803828350541279e-16 2.3046158244302702e-17                 1.0
 3773.199999999968  4.758747107550365e-16 2.2870227828768313e-17                 1.0
 3773.899999999968  4.649289480973915e-16  2.277690259261921e-17                 1.0
3774.5999999999676  4.684304550133983e-16  2.293564654000671e-17                 1.0
3775.2999999999674  4.694789695433188e-16 2.2873944866891633e-17                 1.0
3775.9999999999673  4.541519615283441e-16 2.2726658610834505e-17                 1.0
 3776.699999999967  4.496630235199154e-16 2.2404430150674302e-17                 1.0
 3777.399999999967  4.456855016355369e-16 2.2457512527239568e-17                 1.0
3778.0999999999667  4.648021648963538e-16 2.2151530946328036e-17                 1.0
3778.7999999999665  4.928442207058132e-16 2.2343359147638154e-17                 1.0
3779.4999999999663  4.463312726479471e-16   2.23547684491667e-17                 1.0
 3780.199999999966  4.691540633991097e-16 2.2843163840953427e-17                 1.0
 3780.899999999966  4.628211353263066e-16  2.294729660895939e-17                 1.0
 3781.599999999966  4.877761963714765e-16 2.2668748705094608e-17                 1.0
3782.2999999999656  4.689425487319698e-16 2.2316700378591704e-17                 1.0
3782.9999999999654  4.904293526480188e-16  2.225018371984392e-17                 1.0
3783.6999999999653  4.562262561054341e-16 2.2168751407133384e-17                 1.0
 3784.399999999965  4.644051202191819e-16 2.2355281307507723e-17                 1.0
 3785.099999999965  4.502310804412211e-16  2.244987936292514e-17                 1.0
3785.7999999999647  4.632753216665846e-16 2.2089493005007918e-17                 1.0
3786.4999999999645  4.598515710025275e-16 2.1753692984445065e-17                 1.0
3787.1999999999643  4.493692174947229e-16 2.1609168938952725e-17                 1.0
 3787.899999999964 4.4249178820789113e-16 2.1250914099115132e-17                 1.0
 3788.599999999964  4.615940075817622e-16  2.131020589660713e-17                 1.0
 3789.299999999964  4.677829655115097e-16   2.11997747152452e-17                 1.0
3789.9999999999636  4.781784501376056e-16 2.1339121163237266e-17                 1.0
3790.6999999999634  4.776423400156147e-16  2.162580524359805e-17                 1.0
3791.3999999999633  4.754057044984879e-16 2.2057980959999168e-17                 1.0
 3792.099999999963  4.498056048213968e-16 2.2112308331998575e-17                 1.0
 3792.799999999963  4.571247076709573e-16 2.1596438807567497e-17                 1.0
3793.4999999999627  4.447277420766687e-16 2.1269707814608467e-17                 1.0
3794.1999999999625 4.4024549025549245e-16 2.0935569497042462e-17                 1.0
3794.8999999999623  4.518740984214957e-16 2.0991305115308066e-17                 1.0
 3795.599999999962   4.59855762862813e-16 2.1061432972242714e-17                 1.0
 3796.299999999962  4.635523838410342e-16 2.1293503962606748e-17                 1.0
 3796.999999999962  4.771623863856904e-16 2.1267457151480158e-17                 1.0
3797.6999999999616  4.917488459219374e-16 2.1180976746158257e-17                 1.0
3798.3999999999614  4.884490427164804e-16 2.1110996819311737e-17                 1.0
3799.0999999999613  5.070291595302314e-16 2.1119805306389385e-17                 1.0
 3799.799999999961   4.83476791275124e-16  2.105999914520237e-17                 1.0
