   lambda       fLambda
   2946.01465       2.13794603E+16
   2946.04468       2.13792778E+16
   2946.07471       2.13791188E+16
   2946.12476       2.13788246E+16
   2946.17505       2.13785541E+16
   2946.27515       2.13779893E+16
   2946.37549       2.13774288E+16
   3045.75977       2.06945247E+16
   3045.86011       2.06938461E+16
   3085.55273       2.04828129E+16
   3085.65430       2.04823876E+16
   3100.80933       2.04236368E+16
   3100.91113       2.04232588E+16
   3120.84888       2.03538006E+16
   3120.84888       2.03538006E+16
   3187.32666       2.01071750E+16
   3187.42847       2.01066832E+16
   3187.53003       2.01061313E+16
   3187.58105       2.01058994E+16
   3187.63184       2.01056181E+16
   3187.66235       2.01054699E+16
   3187.69287       2.01053325E+16
   3187.71313       2.01052101E+16
   3187.73340       2.01051091E+16
   3187.74365       2.01050812E+16
   3187.75391       2.01049803E+16
   3187.77417       2.01049287E+16
   3187.79443       2.01048085E+16
   3187.82495       2.01046689E+16
   3187.85547       2.01045723E+16
   3187.90625       2.01043489E+16
   3187.95703       2.01041170E+16
   3188.05884       2.01036445E+16
   3188.16040       2.01031657E+16
   3202.67383       1.76875171E+16
   3202.77563       1.73048001E+16
   3202.87744       1.69256028E+16
   3202.92822       1.67870912E+16
   3202.97900       1.67196806E+16
   3203.00952       1.67193800E+16
   3203.04004       1.67426351E+16
   3203.06055       1.67622738E+16
   3203.08081       1.67756999E+16
   3203.09106       1.67775660E+16
   3203.10132       1.67756258E+16
   3203.12158       1.67620623E+16
   3203.14185       1.67423151E+16
   3203.17236       1.67188753E+16
   3203.20288       1.67189569E+16
   3203.25391       1.67860443E+16
   3203.30469       1.69242317E+16
   3203.40649       1.73027632E+16
   3203.50830       1.76847769E+16
   3289.83276       1.94910276E+16
   3289.93433       1.94902330E+16
   3300.00024       1.94098012E+16
   3300.20020       1.94081519E+16
   3300.40039       1.94065241E+16
   3300.60034       1.94048834E+16
   3300.80029       1.94032621E+16
   3301.00024       1.94016128E+16
   3301.20020       1.93999550E+16
   3301.40039       1.93983551E+16
   3301.60034       1.93966994E+16
   3301.80029       1.93950737E+16
   3302.00024       1.93934159E+16
   3302.20020       1.93917709E+16
   3302.40039       1.93901259E+16
   3302.60034       1.93884724E+16
   3302.80029       1.93868338E+16
   3303.00024       1.93851803E+16
   3303.20020       1.93835203E+16
   3303.40039       1.93818581E+16
   3303.60034       1.93802088E+16
   3303.80029       1.93785682E+16
   3304.00024       1.93769017E+16
   3304.20020       1.93752782E+16
   3304.40039       1.93735946E+16
   3304.60034       1.93719324E+16
   3304.80029       1.93702574E+16
   3305.00024       1.93686038E+16
   3305.20020       1.93669353E+16
   3305.27075       1.93663468E+16
   3305.37256       1.93655029E+16
   3305.40039       1.93652838E+16
   3305.60034       1.93636067E+16
   3305.80029       1.93619660E+16
   3306.00024       1.93602716E+16
   3306.20020       1.93586180E+16
   3306.40039       1.93569194E+16
   3306.60034       1.93552680E+16
   3306.80029       1.93535736E+16
   3307.00024       1.93519157E+16
   3307.20020       1.93502278E+16
   3307.40039       1.93485592E+16
   3307.60034       1.93468842E+16
   3307.80029       1.93452156E+16
   3308.00024       1.93434912E+16
   3308.20020       1.93418441E+16
   3308.40039       1.93401669E+16
   3308.60034       1.93384661E+16
   3308.80029       1.93367867E+16
   3309.00024       1.93350945E+16
   3309.20020       1.93333916E+16
   3309.40039       1.93317208E+16
   3309.60034       1.93300286E+16
   3309.80029       1.93283192E+16
   3310.00024       1.93266506E+16
   3310.20020       1.93249262E+16
   3310.40039       1.93232297E+16
   3310.60034       1.93215482E+16
   3310.80029       1.93198388E+16
   3311.00024       1.93181466E+16
   3311.20020       1.93164501E+16
   3311.40039       1.93147428E+16
   3311.60034       1.93130270E+16
   3311.80029       1.93113305E+16
   3312.00024       1.93096146E+16
   3312.20020       1.93079288E+16
   3312.40039       1.93062130E+16
   3312.60034       1.93045015E+16
   3312.80029       1.93028007E+16
   3313.00024       1.93010655E+16
   3313.20020       1.92993604E+16
   3313.40039       1.92976510E+16
   3313.60034       1.92959201E+16
   3313.80029       1.92942215E+16
   3314.00024       1.92924884E+16
   3314.20020       1.92907683E+16
   3314.40039       1.92890417E+16
   3314.60034       1.92873495E+16
   3314.80029       1.92855993E+16
   3315.00024       1.92838835E+16
   3315.20020       1.92821419E+16
   3315.40039       1.92804153E+16
   3315.60034       1.92787059E+16
   3315.80029       1.92769621E+16
   3316.00024       1.92752291E+16
