# LineID	Wavelength[A]	Relative Flux
S  3	9075.80493	0.06094
Ar 3	7759.79674	0.06321
Blnd	7332.37539	0.44489
Ar 3	7139.44370	0.20533
Blnd	7068.42693	0.17079
He 1	6679.05524	0.06200
N  2	6590.59140	0.07087
H  1	6568.66640	3.34461
S  3	6311.13916	0.18731
Blnd	5884.50240	0.21230
N  2	5748.80504	0.19881
Blnd	5014.53812	1.34520
O  3	4964.64691	0.44369
H  1	4866.35192	1.00000
Blnd	4477.29398	0.06064
O  3	4359.48910	0.60645
H  1	4344.97717	0.44867
H  1	4105.63399	0.23936
S  2	4064.78747	0.06425
Ne 3	3971.04977	0.51910
H  1	3892.43079	0.19562
Ne 3	3866.56605	1.16793
H  1	3840.88811	0.07642
H  1	3802.66616	0.05917
Blnd	3727.38395	0.07354
Bcon	3641.42532	0.05064
Ne 3	3339.20387	0.05103
He 1	3186.98886	0.06628
Na 4	2807.92015	0.07029
Blnd	2798.57904	0.11351
Blnd	2473.93391	0.15919
Blnd	2329.90299	0.84381
C  2	2322.14956	0.18758
Blnd	1907.66296	4.67171
Si 3	1894.99004	0.25607
Si 2	1814.65097	0.05334
N  3	1755.17316	0.11649
Blnd	1749.33448	0.18484
Blnd	1664.04088	0.17907
O  3	1658.50344	0.07065
Blnd	1551.56902	0.11325
C  4	1546.40847	0.18211
C  2	1335.50173	0.13629
Dest	1216.52114	1.94827
S  3	9075.80493	0.06090
Ar 3	7759.79674	0.06315
Blnd	7332.37539	0.44389
Ar 3	7139.44370	0.20513
Blnd	7068.42693	0.16793
He 1	6679.05524	0.06242
N  2	6590.59140	0.07069
H  1	6568.66640	3.35655
S  3	6311.13916	0.18699
Blnd	5884.50240	0.21389
N  2	5748.80504	0.19837
Blnd	5014.53812	1.34540
O  3	4964.64691	0.44329
H  1	4866.35192	0.99184
Blnd	4477.29398	0.06098
O  3	4359.48910	0.60565
H  1	4344.97717	0.44727
H  1	4105.63399	0.23936
S  2	4064.78747	0.06415
Ne 3	3971.04977	0.51930
He 1	3892.43079	0.20115
Ne 3	3866.56605	1.16693
H  1	3840.88811	0.07664
H  1	3802.66616	0.05937
Blnd	3727.38395	0.07360
Bcon	3641.42532	0.05072
Ne 3	3339.20387	0.05097
He 1	3186.98886	0.06657
Na 4	2807.92015	0.06916
Blnd	2798.57904	0.10947
Blnd	2473.93391	0.15885
Blnd	2329.90299	0.84123
C  2	2322.14956	0.18750
Blnd	1907.66296	4.66574
Si 3	1894.99004	0.25567
Si 2	1814.65097	0.05328
N  3	1755.17316	0.11637
Blnd	1749.33448	0.18460
Blnd	1664.04088	0.17885
O  3	1658.50344	0.07061
Blnd	1551.56902	0.12654
C  4	1546.40847	0.21110
C  2	1335.50173	0.12782
Dest	1216.52114	1.95503
